t,input_il6,pJAK1_gp130_Obs
92,0.1,0.000671891040565673
92,0.1,0.00181276047016721
92,0.5,0.000738727561684496
92,0.5,0.00108684803335907
92,1,0.000586575719943264
92,1,0.00191237184872831
92,2.5,0.00132786655346455
92,2.5,0.0030621257623934
92,5,0.00335677754502059
92,5,0.00341380145998626
92,10,0.00636207959108344
92,10,0.00674677331815538
92,25,0.0106235678454658
92,25,0.0114985261851861
92,50,0.0159300971207555
92,50,0.0160603829568428
92,100,0.0205830783288398
92,100,0.0207583314808367
92,500,0.0357223300394197
92,500,0.0363221267817551
