t,input_il6,pJAK1_gp130_Obs
1700,0.1,0.000672072545749029
1700,0.1,0.000388075122486704
1700,0.5,0.000219899826686697
1700,0.5,0.00082170753060316
1700,1,0.000964040698344119
1700,1,0.00169981617584881
1700,2.5,0.0033762224806373
1700,2.5,0.00356808560445185
1700,5,0.0117489178870299
1700,5,0.0111272199792366
1700,10,0.00206274889071213
1700,10,0.0021280553797688
1700,25,0.00622102271304759
1700,25,0.00602124642021418
1700,50,0.00228483161259795
1700,50,0.00253224035271704
1700,100,0.0092744039040004
1700,100,0.00863393228783907
1700,500,0.0167298130854453
1700,500,0.0163116725855269
