t,input_il6,pJAK1_gp130_Obs
33,0,-0.000597247280696426
33,0,-0.00203154721153844
33,0.5,0.00124301529151702
33,0.5,0.00212014739410339
33,1,-0.00029710183340498
33,1,0.00197046590837663
33,2.5,0.00991265144600816
33,2.5,0.0116053041534758
33,5,0.042869737871598
33,5,0.0394911560238039
33,10,0.00242322357676004
33,10,0.00174000656831484
33,25,0.0225707074421714
33,25,0.0207775203969164
33,50,0.00453955726441556
33,50,0.00588970065230264
33,100,0.0301320880748654
33,100,0.0306797166059079
33,500,0.0539227085779714
33,500,0.0537198022439836
