t,input_il6,pJAK1_gp130_Obs
400,0.1,9.81465011628725e-05
400,0.1,0.000800942766750043
400,0.5,0.000629319716172063
400,0.5,0.000642148966932109
400,1,0.000759393037467025
400,1,0.00136743998559812
400,2.5,0.00160681313465744
400,2.5,0.00224181359748082
400,5,0.00188547657306398
400,5,0.00203440846797437
400,10,0.00364320441610253
400,10,0.00384024512795025
400,25,0.00578750937626479
400,25,0.00668737989954662
400,50,0.00896848532909502
400,50,0.00907061466478798
400,100,0.0112420095735625
400,100,0.0112988999880939
400,500,0.0159529458922883
400,500,0.0166646858071775
