t,input_il6,pJAK1_gp130_Obs
110,0,0.00060617817750386
110,0,0.000757368932148236
110,0.0005,0.000434908137276682
110,0.0005,0.000256543780413963
110,0.0005,0.000390835907176621
110,0.0005,0.000447016362404761
110,0.0005,0.000149635668454507
110,0.0005,0.000272528213029532
110,0.005,0.000634319660191835
110,0.005,0.000409188737329738
110,0.005,0.00036758520950575
110,0.005,0.000356506099567633
110,0.005,0.000268362186818726
110,0.005,0.000291796953991166
110,0.05,0.000587108738544441
110,0.05,0.000406134183837746
110,0.05,0.000475708151793648
110,0.05,0.000777901966340378
110,0.05,0.0003710644258054
110,0.05,0.000956493993200606
110,0.1,0.000595157895404632
110,0.1,0.000868333992472915
110,0.5,0.000456341751203292
110,0.5,0.00101467609311064
110,0.5,0.000949097786370221
110,0.5,0.000789077870970138
110,0.5,0.0007001673828412
110,0.5,0.00101850895609261
110,1,0.00129703413708661
110,1,0.00120223719097407
110,2.5,0.00439506635263402
110,2.5,0.00398301996112943
110,2.5,0.011669274661985
110,2.5,0.0118342343771277
110,2.5,0.00185642124782993
110,2.5,0.00196166880890643
110,2.5,0.00194876794924296
110,2.5,0.00199997905135505
110,5,0.00161788983129843
110,5,0.00220728880285691
110,10,0.00169837358215184
110,10,0.00203555489592567
110,25,0.0146220649274819
110,25,0.0147738012925274
110,50,0.0143135702494745
110,50,0.014724847646805
110,50,0.0145251955816174
110,50,0.0147476884807248
110,50,0.0144364306158424
110,50,0.0146478649586085
110,50,0.00676298038907631
110,50,0.00636399534111895
110,100,0.00280613272941099
110,100,0.00294809000892847
110,200,0.00915142313411349
110,200,0.00954943903575915
110,200,0.00878452182132433
110,200,0.00871802973859045
110,200,0.00949300421880911
110,200,0.00886396355310972
110,200,0.00873848322834141
110,200,0.00905539148354879
110,500,0.0172451343059893
110,500,0.0169868220052895
