t,RAF_Obs,pRAF_Obs
0,0.976787064742727,6.50459380868877e-06
0.3,0.987223363324003,NaN
0.45,NaN,0.000181937633293424
0.6,1.01670456141242,NaN
0.9,0.927720091310017,NaN
0.95,NaN,0.000115105579630002
1,1.02261732093584,NaN
1.5,0.97450630311042,7.51024832573832e-05
2,0.980366666672454,4.99393922170766e-05
2.5,1.03846676802089,3.20261478730586e-05
3,0.945055214035968,1.9451797494685e-05
4,0.955128645713407,1.50716855633508e-05
5,0.928644084496096,1.42672938693614e-05
6,NaN,5.52151765208488e-06
7,NaN,8.5230437143367e-06
