t,RAF_Obs,pRAF_Obs
0,1.0496337206408,4.92003531187954e-06
0.25,1.02848802468553,NaN
0.55,0.981245083003448,0.000363165547223839
0.85,1.01385643683563,NaN
1,0.974835832483144,0.000263677459611713
1.5,0.98189231826508,0.000178956156522552
2,1.03567346946468,NaN
2.5,0.987235914294177,9.43119425812267e-05
3,0.938624645715534,7.94347952658616e-05
3.5,1.06317198812534,NaN
4,NaN,6.49055714076662e-05
4.5,0.950730078916917,NaN
5,NaN,6.8407551337165e-05
6,NaN,6.12694392461254e-05
7,NaN,6.7833887807748e-05
8.5,NaN,5.93490051079496e-05
