t,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.0262778976565033,0.00127088374951121,0.311210410629113,0.0114173092546148,0.0061639593765283,0.0431375888135613,0.478819203065018,0.00860803768505723,0.105442253256487,0.0129987314392455,0.00239861476926785,0.00468874829151607,0.000493773765298838
3,NaN,NaN,0.298975887327765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.0077586573895138,NaN,0.0525167543423107,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.0124115705975807,0.000931982265476994,NaN,NaN,NaN,NaN,0.473725200416565,NaN,0.11607468834206,0.0147728260285244,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,0.00632206572762642,NaN,NaN,0.00840921497676717,NaN,NaN,0.00275520827812348,0.00606364264408769,0.000634790979179158
6,NaN,NaN,0.258005096326991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.00835236407178219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,0.0577738300134591,0.485534881883111,NaN,NaN,NaN,NaN,NaN,NaN
8,0.0104674168269634,0.000959872810641862,NaN,NaN,NaN,NaN,NaN,NaN,0.131095716615415,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016564072967607,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,0.00657854316459337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.230195362383587,NaN,NaN,NaN,NaN,0.00908971218231337,NaN,NaN,0.0028710163524525,0.00662096609188455,0.000684915441047252
10,NaN,0.00104227870993898,NaN,0.00768659373669473,NaN,0.0549650888556602,0.520050599050397,NaN,NaN,NaN,NaN,NaN,NaN
15,0.00840117296572766,0.00104924319630819,0.192365822482823,0.00890327611438217,0.00627785407385714,0.0606755403708497,0.51032912375419,0.00928461984598476,0.143204118438408,0.018073804093798,0.00342393535841377,0.00819305477953028,0.000744401368824126
20,0.00664432835181305,0.00100604439843867,0.166962441626732,0.00888012244374949,0.00641979878422675,0.0583092122371757,NaN,0.00922296525134472,0.149995846218602,0.0187395866298367,0.00311341353716402,0.00797637254562961,0.000704594648678839
25,0.00670590027222634,NaN,0.12865431830292,0.00934274871770453,NaN,0.0593302030801018,0.527479334970845,NaN,0.16280754470528,0.0198462966404867,NaN,NaN,NaN
30,0.00542381331458612,0.00114666740955067,NaN,0.00967397950781359,0.00696070514255707,NaN,0.562775715265936,0.00993203483671492,0.176677176070927,0.02257066296278,0.00321389347901009,0.00960633165347793,0.000722441573608114
35,NaN,0.00109997617717579,0.102963771711523,0.0100792417102988,0.00704881326485241,0.0529049836887636,NaN,0.0104604778793474,NaN,NaN,0.00337253530636523,0.00925684107420832,NaN
40,0.00345081226226953,0.00117178924780692,0.0848528303974918,NaN,NaN,0.048454578192764,0.600619872442015,NaN,0.190599027767983,0.0216369576371011,NaN,NaN,0.000848813508720407
45,NaN,NaN,NaN,0.0106292378969141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.00198805285193994,0.00122830294186808,0.0636037618420343,0.0108281710577942,0.00775698858995945,0.043731663022694,0.626794647465645,0.0104604771399898,0.196294382582071,0.0230655192400916,0.00375786450272427,0.0101545908815697,0.000784347819165453
60,0.00185298758353513,0.00118679619373088,0.0436454602071274,0.0109171648263515,0.0084323553907915,0.0343467751484883,0.663376159153212,0.0106656167989143,0.200101170313309,0.0240138213999977,0.00405596743226317,0.0113909190057783,0.000911424029031606
