timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0397654848118042,10.3935726984479,-0.0768917560557493,0.00303116181448258
300,NaN,9.5201335391931,NaN,NaN
350,NaN,NaN,NaN,0.00344999632615341
400,0.0260627893042937,NaN,0.0942569318308723,NaN
650,NaN,9.73299358120884,NaN,NaN
750,NaN,NaN,NaN,-0.00996679161344262
800,0.0608176516469594,NaN,NaN,NaN
850,NaN,NaN,0.203679956189181,NaN
1000,0.0957896500574694,9.04036474167717,NaN,-0.0113643350475051
1500,0.145706748663937,9.17156225704795,0.463798175691157,0.0319651841901046
2000,0.254278931011314,8.35825506824219,0.66172388971515,0.11192334730689
2500,NaN,7.78008446465312,NaN,0.211888731118182
3000,0.562290017504101,8.20728633480408,1.19366215961523,0.334167453693374
3500,0.702694898196846,NaN,1.22230111805984,0.479670635894742
4000,NaN,4.96687402291559,1.30130437322777,NaN
4500,0.954619224099889,3.66992717290114,NaN,0.486580116816346
5000,NaN,NaN,1.0281592799808,0.417403863016052
5500,1.05539316877894,3.41420568211141,NaN,NaN
6000,NaN,NaN,0.875527345900627,0.256525899387709
6500,1.0902807265232,0.327652743345466,NaN,NaN
7000,NaN,NaN,0.613670060887661,0.154590356619346
8500,NaN,NaN,0.42753522483323,NaN
