timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0419757680263148,10.3797049895599,0.00881944197664649,-0.0174949416785469
300,-0.015155309242307,NaN,NaN,NaN
350,NaN,9.97293849486545,NaN,NaN
400,NaN,NaN,0.10512395956468,NaN
450,NaN,NaN,NaN,0.0169602346129726
650,-0.00760395106047031,NaN,NaN,NaN
700,NaN,9.72943413904398,NaN,NaN
850,NaN,NaN,0.134376212487105,0.00805876423292001
1000,0.0772800428043882,10.4567705286264,NaN,NaN
1500,0.189943695196385,9.19213264570978,0.506408669256017,0.0709259114187641
2000,0.416698744329787,9.13756525085448,0.773629037049094,0.154991910255021
2500,0.627143014076133,7.40327870996225,1.20629896119798,0.367911411502242
3000,0.965638004525639,6.36905084651358,1.4354530120438,0.538569392129162
3500,1.16948793803284,NaN,1.46216898826423,0.642096010759708
4000,1.40044172397402,2.81367516009803,1.26802856037942,NaN
4500,NaN,NaN,NaN,0.462500488792456
5000,1.47583970501665,0.942168641619515,0.917992012811893,NaN
5500,NaN,NaN,NaN,0.248878923596408
6000,1.49098031010912,-0.238202455934735,0.697033947439589,NaN
6500,NaN,NaN,NaN,0.121130857326621
7000,NaN,NaN,0.49346520934994,NaN
8000,NaN,NaN,NaN,0.0425730404593797
8500,NaN,NaN,0.266325960397923,NaN
