timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.00857560793065496,9.6444241735124,0.00430245788000323,-0.0122717399487598
400,-0.00145369923099366,10.1740072246574,0.00694053160948076,NaN
450,NaN,NaN,NaN,0.00102280961631842
750,NaN,NaN,0.139291020296248,NaN
800,0.0198014378983755,9.96366598056543,NaN,NaN
900,NaN,NaN,NaN,0.00264626902268232
1000,0.105502524514459,NaN,0.223514490799103,NaN
1500,0.0800992355027845,9.70716114173207,0.29376423343835,0.00592497833999442
2000,0.121228001708048,NaN,0.493983393035729,0.0651325618975139
2500,NaN,8.90820337341895,0.763283039561855,0.131725367776794
3000,0.36712146369578,8.01872529093664,0.947565684562733,0.208953983247817
3500,0.495362013286641,7.23581492414182,1.07768073293113,NaN
4000,NaN,NaN,NaN,0.395336509272155
4500,0.746888775370469,5.45122316018988,1.22384415835969,NaN
5000,NaN,NaN,1.14937897058698,0.424048648797111
5500,0.899555066287677,NaN,NaN,NaN
6000,NaN,2.92822418197009,0.99818145090046,0.319711689105072
7000,0.997895401234238,1.03796616073445,NaN,0.210816071775723
7500,NaN,NaN,0.730979893823184,NaN
8500,0.999520383236856,NaN,0.546148793496255,0.100505258478603
