timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,-0.00290702192691331,10.1257700686893,-0.181846133545788,-0.000205715801498412
35,NaN,0.0524046471533956,NaN,NaN
75,NaN,0.0655650326585013,NaN,NaN
100,NaN,0.0355888983181734,NaN,NaN
150,NaN,0.179396765816352,NaN,NaN
200,0.00760415947533553,0.0166963968689402,NaN,NaN
250,NaN,-0.0455821546006346,NaN,NaN
300,NaN,NaN,9.13689508059482,NaN
350,0.0314043136466986,0.0926440191934124,NaN,0.00366726852142456
400,NaN,-0.0643071217235911,NaN,NaN
550,0.0661975462578982,NaN,NaN,NaN
600,NaN,NaN,8.85897761889086,NaN
700,NaN,NaN,NaN,0.0034992645125578
750,0.0950365478024692,NaN,NaN,NaN
900,NaN,NaN,9.59746551860861,NaN
1000,0.21860132570681,NaN,NaN,0.00304581887519245
1500,0.482150418259977,NaN,8.48829515277815,0.00337899152000878
2000,0.726280640191836,NaN,7.91551808759083,0.00279266117286087
2500,0.85483414025239,NaN,7.73638096774485,0.00249498609055454
3000,0.877837523816088,NaN,7.78402167231052,0.00250670950841126
3500,NaN,NaN,7.54013111357771,0.0024519340105176
4000,NaN,NaN,NaN,0.00239450043251904
4500,NaN,NaN,7.52874252734714,NaN
5000,NaN,NaN,7.13538678666155,0.00214542849790825
5500,NaN,NaN,NaN,0.00196480672333078
6000,NaN,NaN,7.07904170615334,NaN
6500,NaN,NaN,NaN,0.001419038563087
7000,NaN,NaN,6.25388796701879,NaN
8000,NaN,NaN,NaN,0.00127126090753187
