t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,IBMX_Obs
0,0.210381396206595,0.618976448040238,-0.0118552253088376,-7.55335591661168
0.1,NaN,NaN,NaN,114.675081734784
0.25,NaN,NaN,NaN,101.328260805955
0.4,NaN,NaN,NaN,88.0792870126585
0.55,NaN,NaN,NaN,101.191010734322
0.7,NaN,NaN,NaN,96.7586508771318
0.9,NaN,NaN,NaN,88.8130873773476
1,NaN,NaN,NaN,103.717542345498
1.5,NaN,NaN,NaN,108.453121059352
2,0.24121323743749,0.60342696618553,NaN,NaN
2.5,NaN,NaN,0.160032971989804,NaN
4,NaN,0.654365258358798,NaN,NaN
4.5,0.259259085176358,NaN,NaN,NaN
5.5,NaN,NaN,0.133723294302144,NaN
6.5,NaN,0.635040236280149,NaN,NaN
7,0.243335821808916,NaN,NaN,NaN
8,NaN,NaN,0.112157616845012,NaN
9,NaN,0.620519690784441,NaN,NaN
9.5,0.293666514539997,NaN,NaN,NaN
10,0.278894741726336,0.60840792736228,0.100523368702327,NaN
15,0.236542306514174,0.531631129002041,0.104243601141957,NaN
20,0.306464701561499,0.656473109060868,0.105163949917826,NaN
25,0.326274421395196,0.712338611549538,0.114475716632611,NaN
30,0.339814590243673,0.588425008979199,0.114041812483641,NaN
40,0.29556788335401,0.591987181202542,0.103665760185791,NaN
