t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.182768256282501,0.775272388576852,0.000263113103052035,0.0701996644988729
7,NaN,NaN,0.016561934897136,NaN
8.5,0.173785382761898,NaN,NaN,NaN
9,NaN,0.770312716039801,NaN,NaN
9.5,NaN,NaN,NaN,0.0773470690943386
15,0.207335971020619,NaN,0.0139420906225965,NaN
20,NaN,0.589246795343291,NaN,0.0710791888129218
25,0.243367800562434,NaN,0.0167352494879631,NaN
30,NaN,0.643155044404999,0.0125031864076201,0.0621588226754675
35,0.201543132428674,NaN,NaN,NaN
40,NaN,0.524468746242855,NaN,NaN
45,NaN,NaN,0.013302400490019,0.0718527898978561
50,0.208589688907518,NaN,NaN,NaN
55,NaN,0.700409753343628,0.0148660074518176,NaN
60,0.180424421383416,NaN,NaN,0.0756790601700041
70,NaN,0.706570565024796,NaN,NaN
75,0.215059752645337,NaN,NaN,0.0746004753213243
90,0.18774793674447,NaN,NaN,NaN
100,0.197048268096169,NaN,NaN,NaN
150,0.200598147548252,NaN,NaN,NaN
