t,AC_Fsk_Obs,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs
0,-0.00109437601911516,0.178161351695095,0.725050980816592,0.00599614886806463
7.5,-0.00062923122063396,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00176968183647458
15,-0.00249739609735416,0.215176797334404,0.691420489312428,NaN
25,0.00272093840014896,0.171844059520092,NaN,-0.00117143432708499
30,NaN,NaN,0.633898966601516,NaN
35,-0.000994358265614439,NaN,NaN,-0.000105317283591753
40,NaN,0.180562037608136,NaN,NaN
45,0.00410522565804106,NaN,0.718789648669532,NaN
50,NaN,NaN,NaN,0.00156189918340559
55,0.000470915223786242,0.186347411186666,NaN,NaN
65,NaN,NaN,0.535423542022779,0.0595551318430723
70,0.0938178490671863,NaN,NaN,NaN
75,NaN,0.228829956735149,NaN,NaN
80,NaN,NaN,NaN,0.0488480990145183
85,NaN,NaN,0.53775333873624,NaN
90,0.102331247344029,NaN,NaN,NaN
95,NaN,0.25296322422548,NaN,NaN
100,0.091721017986259,0.246056700472758,0.569451900967346,0.0455329939028339
150,NaN,0.255811864716139,0.55120068543068,NaN
200,NaN,0.258425639103329,0.692312839128885,NaN
250,NaN,NaN,0.552801770382002,NaN
