t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.194108108684214,0.67722111139594,0.00175466426130914,0.0355481753461802
20,0.154444653558947,0.670879997647462,NaN,NaN
25,NaN,NaN,0.00223996397674783,0.100612130596842
40,0.135687381765554,0.511015402090413,NaN,NaN
45,NaN,NaN,NaN,0.118007278316086
50,NaN,NaN,0.00184064187268052,NaN
65,0.113964684415356,0.619963051161304,NaN,NaN
70,NaN,NaN,NaN,0.0885049383468102
80,NaN,NaN,0.00191305007709011,NaN
85,0.107291596595089,NaN,NaN,NaN
90,NaN,0.629081031186995,NaN,NaN
100,0.0994799973987566,0.51452407802709,0.00176055079779211,0.12585565132687
150,0.0579665073241095,0.596060364969061,0.00181675441052525,0.171920154573309
200,0.0530733950118969,0.633311931015595,0.00127707775907803,0.246419208003859
250,0.0515918520432869,0.43645625880732,0.00178817706764684,0.243123126093964
300,0.0387408152575739,0.434711585367451,0.00146195876220618,0.292586590498411
350,0.0511477005084869,0.517999905379559,0.00105092077088777,0.229582406279645
450,0.0291180627522226,0.255951229250372,0.00143010517052087,0.363099851778542
