t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.181378095248555,0.590527497907202,0.0171563374388949,0.0680093267586763
7,NaN,NaN,0.0206087560906586,NaN
8,NaN,NaN,NaN,0.0670515150177343
9.5,NaN,0.647340318051094,NaN,NaN
10,0.160825723896873,NaN,NaN,NaN
15,NaN,NaN,0.14080991021861,0.0779114805172238
20,0.174935411197311,0.689434198997614,0.114057323676605,NaN
25,NaN,NaN,NaN,0.057311965743549
30,0.300670244296802,0.649525916677364,0.113767551429167,NaN
35,NaN,NaN,NaN,0.0521115419681468
40,NaN,0.487815136552267,0.10485832201395,NaN
45,0.282340634116077,NaN,NaN,0.0549899376652288
50,NaN,NaN,0.128305398450855,NaN
55,0.334784500833445,0.655257577002469,NaN,NaN
60,NaN,NaN,NaN,0.0409044166713914
65,NaN,NaN,0.106485648263545,NaN
70,0.36274066774417,0.708225439621625,NaN,0.0396342671878692
80,NaN,NaN,0.106221345982341,NaN
85,NaN,0.516089935413698,NaN,0.0396589486575872
90,0.343905458651965,NaN,NaN,NaN
100,0.312879529232526,0.51709093298047,NaN,0.0410297572529413
150,0.404699170682764,0.694990531910014,NaN,0.0447791792275096
