t,AC_Fsk_Obs,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_cAMP_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_2_Obs,RIIp_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs
0,0.161165540257309,0.225415908174635,0.635900469500696,0.00203067682449246,0.0781452268308754,0.000287987134960044,-0.0168322130612018,0.152395015282575,0.155119052992761,-0.000295028173271997
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016447229061692,NaN
7,NaN,NaN,NaN,0.000278483588024413,NaN,NaN,NaN,0.146514642652686,NaN,NaN
7.5,NaN,0.202550451859877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,0.0628233706071673,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,3.89004110125751e-05,NaN,NaN,NaN,NaN
9,NaN,NaN,0.678746326546525,NaN,NaN,NaN,NaN,NaN,NaN,0.00440623583576573
10,-0.0793326107858121,NaN,NaN,NaN,NaN,NaN,0.124357061894838,NaN,0.0137001166280379,NaN
15,NaN,0.276782505411927,NaN,7.46261690490044e-05,0.0503541690651411,1.84794611131599e-05,NaN,0.113483377227556,NaN,NaN
20,-0.249180387023929,NaN,0.75289405665359,NaN,NaN,NaN,NaN,0.241677721971923,0.00303257180720344,0.00424032922549938
25,NaN,0.269606821389117,NaN,8.81761080202658e-05,0.0651119986616489,7.18613576300616e-06,0.088257831778943,NaN,0.00949467746743516,NaN
30,0.248292886066051,0.306546600138085,0.554245293587507,NaN,NaN,NaN,NaN,0.232164553627274,NaN,0.00425915420888199
35,NaN,NaN,NaN,3.96649708645585e-05,0.0538868567405804,NaN,0.0995612093195426,NaN,0.00772186526203131,NaN
40,NaN,0.319547517487757,0.614318701921566,NaN,NaN,1.74873496630492e-05,NaN,0.269894974291628,NaN,0.00442077788695802
45,0.12475848802309,NaN,NaN,-1.21450671361308e-07,0.0470473578374998,NaN,NaN,0.236886715381825,0.00409551379599755,NaN
50,NaN,0.295242059722081,0.581703968333387,NaN,NaN,1.82706341651116e-05,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,2.75610877552823e-05,0.0426513493166292,NaN,0.102467200228999,NaN,0.0129374884114079,0.00427413277037262
60,0.164599889563684,0.313530997499744,0.531811395571442,NaN,NaN,NaN,NaN,0.21658609941359,NaN,NaN
65,NaN,NaN,NaN,NaN,0.0515822477689069,1.77059142577788e-05,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.119999903172558,0.30333185088118,NaN,NaN
75,0.0205241614632892,0.327700720018644,0.559264424932197,NaN,NaN,NaN,NaN,NaN,NaN,0.00427276843591811
80,NaN,NaN,NaN,NaN,0.0531207513411555,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.279723086352081,NaN,NaN
90,NaN,0.307004309887017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,0.0677558566551851,NaN,0.531373865918538,NaN,0.0410726374152776,NaN,0.118649747856778,NaN,NaN,NaN
100,-0.0685832779411158,0.27384747806162,0.665529680950061,NaN,0.0281690461781489,NaN,NaN,0.294326565601688,NaN,NaN
150,-0.260161459584524,0.308380399636178,0.647505810677287,NaN,0.04270312986661,NaN,NaN,NaN,NaN,NaN
