t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.186713969504306,0.709117252017343,0.00140582760563128,0.0734410902751408
9.5,NaN,NaN,0.000874348376599274,NaN
10,0.158927778483386,NaN,NaN,NaN
15,NaN,0.639306936473709,NaN,0.0778699934877279
20,NaN,NaN,0.00211068416584779,NaN
25,0.201875430354514,0.522414649086184,NaN,NaN
30,NaN,NaN,0.00103743841039815,NaN
35,0.197918083860486,NaN,NaN,0.0808152527360626
40,NaN,0.503828717521472,NaN,NaN
45,NaN,NaN,0.000776280003327336,NaN
50,0.192031295440982,NaN,NaN,NaN
55,NaN,0.623885297774237,NaN,0.077131789580112
60,NaN,NaN,0.00218945261833441,NaN
70,0.212133782729741,0.678537694597024,NaN,NaN
75,NaN,NaN,NaN,0.0590296964573055
80,NaN,NaN,0.0273861421994284,NaN
85,0.212112087450411,NaN,NaN,NaN
90,NaN,0.646541025911829,NaN,NaN
95,NaN,NaN,NaN,0.0736120892052838
100,0.200686951423897,0.708763043427421,NaN,0.0693523404633563
150,NaN,0.496656974717213,NaN,0.0665847582254482
200,NaN,0.518055342507636,NaN,0.0570338377024813
250,NaN,0.605227786606537,NaN,0.0609870267930397
