t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.186711295928661,0.690973558559857,0.00355222522179533,0.0719030896025331
20,NaN,0.605198906261117,NaN,NaN
25,0.187700147158153,NaN,-0.00297567550373738,0.103437272914319
45,NaN,0.499175024587317,NaN,0.0960218622393275
50,0.129654156164241,NaN,-0.0044482552045322,NaN
65,NaN,0.577341021671229,NaN,NaN
70,NaN,NaN,NaN,0.0585852619705325
75,NaN,NaN,0.0475399695436745,NaN
80,0.17952747243935,NaN,NaN,NaN
90,NaN,0.704542363528551,NaN,NaN
95,NaN,NaN,NaN,0.0831512575946019
100,0.18810280705108,0.774191832263679,0.0437450307919993,NaN
150,0.112093603202567,0.528241936622263,0.0480966146334566,0.095514633421847
200,0.132428863634238,0.565987696457812,0.0406466841299734,0.0701478616037583
250,0.0943166151413893,0.536149986790412,0.0425323177450256,0.121495113029095
300,0.0743213454011571,0.674974893480946,NaN,0.129317382769511
350,0.0448677525646584,0.56655643474667,0.0320967362791686,0.162980985869481
400,NaN,NaN,0.0385952446965709,NaN
450,0.0668546363349523,0.501578014411471,NaN,0.178983832901472
