t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.182382214594512,0.742440895623149,0.00555835149413432,0.0606222674315575
7,NaN,NaN,0.00379304940313055,NaN
8.5,0.237017193615946,NaN,NaN,NaN
9,NaN,NaN,NaN,0.070341592675781
9.5,NaN,0.599574190570069,NaN,NaN
15,0.291414447834425,NaN,0.101473907153658,NaN
20,NaN,0.667563207513876,0.080753789010637,0.0570742439907176
25,0.253449891205582,NaN,NaN,NaN
30,NaN,0.653147454384261,0.0702880680667624,0.05374487694974
35,0.267833216212061,NaN,NaN,NaN
40,NaN,0.545528233087097,0.0784955156076449,0.0548586419462998
50,0.25966315453249,0.542954182535005,0.0748278984190254,0.0470469213508115
60,0.270785457409003,NaN,0.0997189341998817,NaN
65,NaN,0.592036173310758,NaN,0.0466774113171841
75,0.283694104988659,0.54272287533508,0.0860805885166572,NaN
80,NaN,NaN,NaN,0.043741785227415
90,0.292489322088529,0.521451681255347,0.0848246812174899,NaN
95,NaN,NaN,NaN,0.0424467531529114
100,0.366065996485331,0.675248549755504,NaN,0.0464058160234371
150,0.29878692965368,0.705148344174454,NaN,0.0462986872530051
200,NaN,0.583764615105585,NaN,NaN
