t,cAMP_Obs,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs
0,-0.0114851906591659,0.20325109021993,0.72932481116094,-0.000113413340427458
6,0.0662490444288153,NaN,NaN,NaN
15,0.00944979689535871,NaN,NaN,NaN
20,0.126994848719112,NaN,0.730332821938678,NaN
25,0.112972741285618,0.200549246572451,NaN,0.00180384919453599
35,0.0452174911712646,NaN,NaN,NaN
45,0.0278071689122453,0.229252444175349,0.734634407273151,NaN
50,NaN,NaN,NaN,0.00372908335422091
55,0.0549019081902072,NaN,NaN,NaN
70,1.52266803805074,0.203465740604943,0.507467504620956,NaN
80,NaN,NaN,NaN,0.0494288978267818
85,1.44602996717447,NaN,NaN,NaN
95,NaN,NaN,0.503275269663622,NaN
100,1.45575380491015,0.171081851090592,0.631647892976632,0.0451229505328441
150,NaN,0.20373479054165,0.835676705266178,0.0512323927289896
200,NaN,0.202478735120171,0.518208593170823,0.0481609172980155
250,NaN,0.18487377374713,0.429834173052588,0.0389305673067332
300,NaN,0.191277031991859,0.620013686935787,0.0427796312933092
350,NaN,0.145558460485952,0.554138276842143,0.0425624667218541
450,NaN,0.136740040937505,0.654645611236601,0.0461115609387754
