t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.175455841013472,0.577490997610238,0.00193195773054881,0.0665868084477048
8,NaN,0.769906695131676,NaN,NaN
8.5,0.218009854963511,NaN,NaN,NaN
9.5,NaN,NaN,0.00195840621571166,NaN
10,NaN,NaN,NaN,0.0621717244998093
15,0.248077171325833,0.676329724372677,NaN,NaN
20,NaN,NaN,-5.76577936630185e-06,NaN
25,0.232200909844983,0.580090335166733,NaN,0.0593579829318986
30,NaN,NaN,0.000184174533741952,NaN
35,0.221075438810384,0.513739165969106,NaN,0.0476809781709875
45,0.302715769256511,0.584931632017746,0.000189581206615645,NaN
50,NaN,NaN,NaN,0.0504782797043284
55,NaN,0.616832148452883,NaN,NaN
60,0.28850236660836,NaN,9.21834585563645e-05,NaN
65,NaN,NaN,NaN,0.0484696248140025
70,NaN,0.657328636388524,NaN,NaN
75,0.35759629809883,NaN,9.15160004254839e-05,NaN
80,NaN,NaN,NaN,0.0413010980543277
85,NaN,0.59915256960911,NaN,NaN
90,0.333993667308117,NaN,NaN,NaN
100,0.307294195075178,0.552921362100804,NaN,0.0365297684848393
150,0.376693336424309,0.622748540330327,NaN,0.0501018354845563
