t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.225651147809847,0.717806902256175,-0.00704300541201678,0.0784060977096194
9.5,NaN,0.595533541711429,NaN,NaN
10,0.192397442995345,NaN,NaN,NaN
20,NaN,0.420686285181504,0.0020787295961667,0.0649832051648087
25,0.204141198532113,NaN,NaN,NaN
30,NaN,0.737462893280983,NaN,NaN
35,0.203331898433846,NaN,NaN,0.0719709224206533
40,NaN,0.549518302281791,6.18617631840109e-05,NaN
50,0.233427600538701,0.632436204503506,NaN,NaN
55,NaN,NaN,NaN,0.0701007490971887
60,NaN,NaN,0.000388894441826457,NaN
65,0.191118427322255,0.517776906665578,NaN,NaN
75,NaN,NaN,NaN,0.0633973225396428
80,0.263412817569798,0.642550261890379,0.0710687608843795,NaN
95,0.222106038407895,0.493890718906687,NaN,NaN
100,0.282643385335027,0.406068295502142,0.0838294140148892,0.0549362226702167
150,0.285551591698261,0.566416379583325,0.0762270801079189,0.0321275877396007
200,0.284893120321761,0.507260499980548,0.0702804829547776,0.0481741736246816
250,NaN,NaN,0.0880325265223957,0.0469915715479147
300,NaN,NaN,0.0856546256822726,0.0364585151812274
350,NaN,NaN,0.0860585467454038,NaN
450,NaN,NaN,0.0836441431650808,NaN
