t,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.189397906111447,0.659133530935282,0.00245966379863212,0.0659964669064801
20,NaN,0.718249461311476,-0.00036423034999538,NaN
25,0.156762783603481,NaN,NaN,0.119330399654201
45,0.138350885605799,0.593948402494867,-0.000518009646428142,NaN
50,NaN,NaN,NaN,0.114870628861904
65,NaN,0.603967402597365,0.0604872609312799,NaN
70,0.129898974112245,NaN,NaN,NaN
80,NaN,NaN,NaN,0.119274033192878
90,NaN,NaN,0.0422672765646777,NaN
95,NaN,0.581716672608406,NaN,NaN
100,0.0946726129672092,0.48613975632054,0.041266574233062,0.11024643002864
150,0.0826602991623032,0.636976822026337,0.0476337021380035,0.139921802282691
200,0.0506294693732504,0.399568419484474,0.0466232130767079,0.199131192875657
250,0.0568460347194415,0.59177428112551,0.0344673971669598,0.248659348540439
300,0.0439826043014434,0.491527419966568,0.0424297585412905,0.258343478766076
350,0.0244989998566337,0.493914487751661,0.0358147564542346,0.2728207505157
400,NaN,NaN,0.0354428233098054,NaN
450,0.0381589413393988,0.358864892895233,NaN,0.334589664677359
