t,AC_Fsk_Obs,cAMP_Obs,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,Rp8_pCPT_cAMPS_Obs,RIIp_Rp8_pCPT_cAMPS_C_2_Obs,RIIp_Rp_cAMPS_C_2_Obs,RII_2_Obs,IBMX_Obs
0,0.0924549869497471,0.0322671265862959,0.220747361332842,0.884772307322141,0.00183827037324143,-0.017942238438988,0.109465691346997,-0.0395432422353857,0.067255668566728,0.179730092097585
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0684871508915481,NaN
15,NaN,0.027083678840455,NaN,0.561354082334501,0.00195505401748397,-0.0499426863172029,-0.13921014828517,-0.0886304048705452,NaN,-0.175984314311303
20,-0.0462923216504446,NaN,0.215176920099687,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.0279884058730738,NaN,NaN,NaN,NaN,-0.050540280083966,NaN,0.0615922655156974,NaN
30,NaN,NaN,NaN,NaN,0.0017037061342338,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,0.757983602796801,NaN,-0.0333636666036723,NaN,-0.0674821819536972,NaN,-0.111286199125124
40,0.0641266223580986,0.0342234130397501,0.197301269375379,NaN,NaN,NaN,-0.0372261363020246,NaN,0.0805101364769851,NaN
50,NaN,NaN,NaN,0.532315755818928,0.00175357617291412,NaN,NaN,0.0687987186921683,NaN,0.244132980097712
55,NaN,NaN,NaN,NaN,NaN,0.0241653610396163,NaN,NaN,0.0701852194940839,NaN
60,0.00526049706379009,0.0317119328695921,0.213178087364272,NaN,NaN,NaN,-0.0196374977432626,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.00224721996158288,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,0.691033129150721,NaN,NaN,NaN,0.0392753603727917,0.0919009327622005,0.118087019016479
80,NaN,0.0382221226535732,NaN,NaN,NaN,0.00798093452085048,-0.00216772745582442,NaN,NaN,NaN
85,0.0475811580185957,NaN,0.203162729064282,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.00161250968818688,NaN,NaN,NaN,0.0736873133887752,NaN
100,-0.100649196728841,0.033102598143152,0.227562882561838,0.734272739606145,NaN,-0.116011825806759,0.0918322997269569,-0.0666484156404237,0.0787019255876867,0.139812423112114
150,-0.155489201322796,NaN,0.223444922841703,0.809842274643905,0.00164262025716488,0.100754469740166,NaN,0.122701149955815,NaN,0.0225624886958602
200,0.14454837637765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,0.0532079633584823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,-0.0901619731972399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,-0.00407965159064783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,0.0758492187061993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
