t,ERK_Obs,pMEK_Obs,Compound_1_Obs
0,1.11456105399062,0.0012935586445074,1.88642659986567
0.4,0.923019147889601,NaN,NaN
0.45,NaN,NaN,1.86381264176973
0.85,1.20803371757722,NaN,NaN
0.9,NaN,NaN,2.34379220007225
1.5,0.948353217947892,NaN,2.04542244474419
2,0.972263866503797,NaN,1.84759322001182
2.5,0.978698259584536,NaN,2.29350059692103
3,1.25847844521369,NaN,NaN
3.5,NaN,NaN,2.28116534638926
4,1.02773806643071,0.00301393602300833,NaN
8,NaN,0.00392423141440844,NaN
15,NaN,0.00415759262864053,NaN
20,NaN,0.00333491672648952,NaN
