t,ERK_Obs,pMEK_Obs,Compound_1_Obs
0,0.950594950248875,0.000720560610678932,1.65138827950842
2,0.626168406229719,NaN,1.81540039465383
3,NaN,0.00103995909382116,NaN
4,0.805662520843159,NaN,NaN
4.5,NaN,NaN,2.14591730465351
6,NaN,0.000989590271577197,NaN
6.5,0.82445500701863,NaN,1.92481284240181
9,1.10901542563525,NaN,2.01335438373292
9.5,NaN,0.000612092270116196,NaN
10,0.752506031304221,NaN,2.00312050714762
15,0.722715236538546,0.00108862552792411,2.38526942946858
20,0.847948726277264,0.00109702979690884,1.79791012200751
25,1.08826393841022,NaN,2.00873680795646
