t,ERK_Obs,pMEK_Obs,Compound_1_Obs
0,0.864166252759417,0.000914149740856919,1.79371269881285
0.4,0.94389246520264,NaN,NaN
0.45,NaN,NaN,2.03270260797335
0.8,0.922377492357423,NaN,NaN
0.95,NaN,NaN,1.43023936622716
1,0.932870445685608,NaN,NaN
1.5,0.944664567794293,NaN,2.50344094327691
2,0.628959124897999,NaN,1.91864166226823
2.5,1.17078931807472,NaN,NaN
3,NaN,NaN,1.97990525879741
3.5,0.900295414316598,NaN,1.55761213915326
4,0.987712036147594,0.000360337742347714,NaN
5,0.867025364465619,NaN,NaN
5.5,0.927989928723622,NaN,NaN
7,0.980246657096626,NaN,NaN
9,NaN,0.000377072270515573,NaN
15,NaN,0.000550893097130812,NaN
20,NaN,0.000378659267127543,NaN
