t,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00110384498124822,4.89470703883684e-08,1.10938572697539,3.42643177023253e-08
25,0.157158111343626,8.31181346071636e-08,NaN,NaN
30,NaN,NaN,NaN,1.37410163845809e-07
35,NaN,NaN,0.590746814112874,NaN
55,0.525135990496878,2.75735088037279e-07,NaN,NaN
60,NaN,NaN,NaN,1.86981012101222e-07
70,NaN,NaN,0.596188459034737,NaN
80,0.518732310627376,3.8978955858334e-07,NaN,NaN
90,NaN,NaN,NaN,1.90787403425734e-07
100,0.809524690662414,3.98010468636147e-07,0.52918400053878,NaN
150,1.13640728990958,5.30213370753959e-07,0.249750937012875,4.16924999715821e-07
200,1.55065737027737,4.9825687858323e-07,0.090507940085209,4.92234326660196e-07
250,0.736841041569874,5.47133338483533e-07,0.0812634236417586,5.80137155134553e-07
300,NaN,NaN,0.0479756050923928,2.07610852385868e-07
350,1.44226230118589,NaN,NaN,NaN
400,1.10704466466251,2.01118667255272e-08,0.0728590759869777,2.26164676164062e-08
450,NaN,NaN,0.0478697355775036,5.22778435258875e-07
500,1.04225596594455,5.67228888209346e-07,NaN,NaN
600,1.50187388396296,4.92200800757459e-07,0.0226420178367849,5.08619534049469e-07
