t,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,Compound_1_Obs,Compound_2_Obs
0,1.38602509301702e-07,0.0160073712048486,0.998775074169118,0.0137297252982991
15,NaN,NaN,NaN,0.0747349733593209
20,NaN,0.16437826915327,0.855125720255223,NaN
25,2.18443456753318e-05,NaN,NaN,NaN
35,NaN,NaN,NaN,0.0712106969121221
40,NaN,0.0891420784238677,NaN,NaN
45,NaN,NaN,0.951730431835869,NaN
50,1.84032671688547e-05,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0648400733805472
60,NaN,0.0658899671795447,NaN,NaN
65,NaN,NaN,0.989621995116749,NaN
75,2.5351211037124e-05,NaN,NaN,0.0685826858309147
80,NaN,0.0983232786385972,NaN,NaN
90,NaN,NaN,0.900067736046897,NaN
95,NaN,NaN,NaN,0.0569477118115052
100,1.69299018520562e-05,0.0807023353249724,0.640844805848093,0.0372269747536646
150,1.58433774682079e-05,0.0400973040282184,0.950078697762185,0.0339579909024579
200,1.39697650387499e-05,0.0372512448284584,1.27868331334196,0.0294774488336086
250,1.38244727228301e-05,0.0301017920440294,0.390557612447489,0.0379278447474069
300,1.31752665090998e-05,0.0213708083477672,0.734046643329888,0.0183894055501789
350,NaN,0.0256868287821775,1.0311618301298,NaN
400,2.03337061482004e-05,NaN,NaN,NaN
