t,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,Compound_1_Obs,Compound_2_Obs
0,7.594113531625e-07,1.17355567420862e-06,0.0394132888247825,1.13577839449702,0.0228368516358236
20,0.00091679951722069,NaN,NaN,0.843476769783081,NaN
30,NaN,NaN,NaN,NaN,0.167503035367446
35,NaN,0.000545878257322218,0.167703017615128,NaN,NaN
40,0.000959472624288924,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.663228124122072,NaN
60,0.00100750049940431,NaN,NaN,NaN,0.193000573105024
70,NaN,NaN,0.281193838504928,0.356965356374056,NaN
75,NaN,0.000387964127467674,NaN,NaN,NaN
85,0.000685763254109228,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.159488314906542
95,NaN,NaN,NaN,0.523333655995242,NaN
100,0.000884075184062068,0.000593908574009613,0.240173652836522,0.518959983416206,NaN
150,0.000450616500985859,0.000656800802423703,0.16712626780057,0.366191009648649,0.13563037939796
200,0.000330001095161851,0.000469494611011793,0.184016370483135,0.203430882475137,0.228800182539075
250,6.68277690133665e-05,NaN,0.17315018910446,0.0249452687673147,0.175511313729958
300,2.34330322769252e-05,0.000369028856979171,NaN,0.0066824068228258,0.0633638438932893
350,2.68194827547549e-05,0.000127657867421436,0.0397531051621739,NaN,NaN
400,NaN,NaN,0.0273244807301272,0.00262156707066224,0.03025001632397
500,NaN,NaN,NaN,NaN,0.0240598093575922
550,NaN,NaN,0.0208469286637338,NaN,NaN
